repo,url,category,license,assessment,inference_status,readme_sha256
us/jev-local,https://github.com/us/jev-local,General scoring / serving adapters,UNCONFIRMED,Existing-model wrapper with author calibration claims. Code license unresolved.,Source and metadata reviewed; model inference not tested,d6da62c2a314d93b11ed8c25ccc3e30d5007ca45d46ac1c9b338beb66df45590
olanotolu/jevbetter,https://github.com/olanotolu/jevbetter,Specialists and training experiments,MIT,Trainable compact scorer; judge against task-specific held-out data.,Source and metadata reviewed; model inference not tested,2d57fd85d41bd7ae6ff87a5b6f03bbc90ccfe3fee6425fcdd9348201ed529d04
wfzyx/von,https://github.com/wfzyx/von,Trained decision models,Apache-2.0,"ModernBERT decision model; code license detected, model-card license missing in inspected metadata. Clarify weight rights.",Source and metadata reviewed; model inference not tested,60c0b4b57772e870a62e238efa9705f07b1ecdd1c54101037ee04380f3aaa862
Heman10x-NGU/Verdict-open-jev,https://github.com/Heman10x-NGU/Verdict-open-jev,Specialists and training experiments,NOASSERTION,Banking77-oriented GLiClass/ModernBERT checkpoint; narrow-domain evidence does not establish general reasoning.,Source and metadata reviewed; model inference not tested,ebeb7410f73fdaa0b661580b044b08db6e4fe2e39fccfd48b70514714f826600
Yinsongxu/LLM2Jev,https://github.com/Yinsongxu/LLM2Jev,General scoring / serving adapters,Apache-2.0,Adapts existing language models to typed decisions.,Source and metadata reviewed; model inference not tested,754c82081b5e786137d5fa5fa091eb26651af2c194db4e5c39693092edc96600
rorshopping/jev-on-a-laptop,https://github.com/rorshopping/jev-on-a-laptop,Mac and device scoring runtimes,NOASSERTION,Local MLX reproduction/benchmark; code license unresolved. Not a separate trained foundation model.,Source and metadata reviewed; model inference not tested,d24df25b79d5161f1f9236845cd2327a193d610dedad6947e2d4246436f341f0
shamazharikh/qwen-rlcd,https://github.com/shamazharikh/qwen-rlcd,Specialists and training experiments,UNCONFIRMED,Reproduction/training project. Checkpoint availability and code license require further verification.,Source and metadata reviewed; model inference not tested,dd3e9b77ae56133796296922734d677f2c250b59e53e173daaa4c7eabc12d6ab
OmniJev/PlayJev,https://github.com/OmniJev/PlayJev,Specialists and training experiments,Apache-2.0,Visual/game-oriented model; separate evaluation track.,Source and metadata reviewed; model inference not tested,6ddf880f848923cd988edf13dc17f331db6e2c1791f7580d9d9e8a58a64a927f
Knowledgator/GLiClass,https://github.com/Knowledgator/GLiClass,"Adjacent classifiers, adapters, evaluation",Apache-2.0,"Established classification approach, useful adjacent baseline; not a complete Jev API clone.",Source and metadata reviewed; model inference not tested,c58e3eaf8020ea4d8ce12b1c1ba7ede55e0ebd6ce94b98a82e1965c8e867a7bd
kotoba-lang/typed-decisions,https://github.com/kotoba-lang/typed-decisions,Trained decision models,NOASSERTION,"DeBERTa typed-decision implementation and checkpoint; model card Apache-2.0, code license unresolved by metadata.",Source and metadata reviewed; model inference not tested,9821eb6549962f1fac32faff1a1263e2552e2074ff40bea50a2175920d1068aa
typesafe-ai/system-one-adapter-python,https://github.com/typesafe-ai/system-one-adapter-python,"Adjacent classifiers, adapters, evaluation",MIT,Official adapter for other model providers. It does not make a proprietary backend local or open source.,Source and metadata reviewed; model inference not tested,131f22241ff30f4b31523cfdf8813188c672fbac6e0a7b9497b94b93bb95dc93
fstandhartinger/jevbench,https://github.com/fstandhartinger/jevbench,"Adjacent classifiers, adapters, evaluation",MIT,"Evaluation project, not a replacement model. Useful additional benchmark; published scores are not our test results.",Benchmark toolkit; not a model,6f601aa22379d8edea6172da216eee660661b2ab72e1b51881701bae56a6aba2
NullPo-jp/PocketJev,https://github.com/NullPo-jp/PocketJev,Mac and device scoring runtimes,MIT,On-device iPhone visual option scoring with Qwen3-VL; not a desktop general decision model.,Source and metadata reviewed; model inference not tested,10cee9371e3c4cbb3f3ecb3716231b80714d11268dd3a6bc2cc0175c90c2f241
kikoncuo/jevfire,https://github.com/kikoncuo/jevfire,General scoring / serving adapters,MIT,Parallel scoring sidecar for CUDA/vLLM; browser demo is a different runtime configuration.,Source and metadata reviewed; model inference not tested,3440c5705062d46d092a5cae90e4ffa76fa7e7d90c3478ad3da9d143a9138b00
stephanj/parallelConstraintDecoding,https://github.com/stephanj/parallelConstraintDecoding,Mac and device scoring runtimes,Apache-2.0,"Java/llama.cpp native engine plus Python/MLX reference. A decoding implementation, not new trained weights.",Source and metadata reviewed; model inference not tested,d6f7f079b8483c01c03efe32550911378d48543d15b909ba044b8ea84b10ecd5
snellingio/system-one,https://github.com/snellingio/system-one,Mac and device scoring runtimes,MIT,Apple Silicon MLX decision server and evaluation tooling.,Source and metadata reviewed; model inference not tested,e7ec3b80662e5fd8dca20fddbff4db8e0e80251554b0567fdbcfd4d4c9391696
genai-craft/openvons,https://github.com/genai-craft/openvons,Diffusion and multimodal wrappers,NOASSERTION,Text/image/Japanese-audio decision-layer project; code license scope unresolved.,Source and metadata reviewed; model inference not tested,4e978cdbafee172a5cfee466be56d2ac99da7793c4ffec5c0e0de52f327f3d22
sgoedecke/system-one,https://github.com/sgoedecke/system-one,General scoring / serving adapters,UNCONFIRMED,Batched single-token choice server. Code license unresolved.,Source and metadata reviewed; model inference not tested,cd159603b281e2dcae8ac325465e04fa6ffdaa581a51752c106a9aa9b987c2fe
kshetrajna12/reflex,https://github.com/kshetrajna12/reflex,General scoring / serving adapters,MIT,Ships frozen Qwen readout; its small browser demo is explicitly not representative of served judge quality.,Source and metadata reviewed; model inference not tested,e284eab97e67032ceac780c26aa05121a8024356069f1edb856a831f3d544bf4
Micha0827/snapjudge,https://github.com/Micha0827/snapjudge,Mac and device scoring runtimes,MIT,Mac Qwen scorer and TypeSafe-compatible service; model size and quantization materially affect quality.,Source and metadata reviewed; model inference not tested,78510c6636784bf4dfab63455d5ec35438e36c834dd77ab0c222e0dd7f768d37
mikesmullin/openjev,https://github.com/mikesmullin/openjev,Specialists and training experiments,UNCONFIRMED,Local reproduction of another checkpoint plus game/demo branches. Code license unresolved.,Source and metadata reviewed; model inference not tested,4339ff3874ab9a745539a618f5977a86c1d97f50dc0dc8498bb8ba1f93a5a67f
logan-markewich/jeff,https://github.com/logan-markewich/jeff,"Adjacent classifiers, adapters, evaluation",MIT,TypeSafe-style service around GliFormer. Another compact classifier baseline; not a new trained model.,Source and metadata reviewed; model inference not tested,a5a85a5753682bf52bc6e0df3eba1ccf61bbb360aec2e006837f14954c8b1573
mithalouni/system-one-open,https://github.com/mithalouni/system-one-open,Specialists and training experiments,NOASSERTION,Gemma decision-head training/serving experiment; code license scope unresolved.,Source and metadata reviewed; model inference not tested,894b3ee36008c395dd4d1d3cc625c85f7b5aee57745c5ad24c0c3460825747ba
akash-kamat/system-one-gemma,https://github.com/akash-kamat/system-one-gemma,Specialists and training experiments,UNCONFIRMED,Gemma 270M scoring-head experiment; base-model acceptance and code license unresolved.,Source and metadata reviewed; model inference not tested,97e66d39b1ac5bf318c24fa5f45214475cbe4734bac15218e7b6c42dc0d5de4e
